,Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces
434,434,0.0819999999999999,,1178,Vivant Tripel,Tripel,10,16.0
435,435,0.098,,1136,Tart Side of the Moon,Belgian Dark Ale,10,16.0
436,436,0.06,,1044,Big Red Coq,American Amber / Red Ale,10,16.0
437,437,0.099,,1033,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),10,16.0
438,438,0.095,,1031,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,10,16.0
439,439,0.092,,909,Escoffier Bretta Ale,American Wild Ale,10,16.0
440,440,0.065,,873,Contemplation (2012),Bière de Garde,10,16.0
441,441,0.099,,860,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,10,16.0
442,442,0.062,,677,Big Red Coq (2012),American Amber / Red Ale,10,16.0
443,443,0.09,,671,Zaison (2012),Saison / Farmhouse Ale,10,16.0
444,444,0.092,,670,Vivant Tripel (2012),Tripel,10,16.0
445,445,0.0969999999999999,,669,Trebuchet Double IPA (2012),Belgian IPA,10,16.0
446,446,0.085,,627,Kludde,Belgian Strong Dark Ale,10,16.0
447,447,0.055,,387,Farm Hand,Saison / Farmhouse Ale,10,16.0
448,448,0.06,,385,Solitude,Belgian Pale Ale,10,16.0
449,449,0.065,,384,Triomphe,Belgian IPA,10,16.0
450,450,,,1096,Tampa Pale Ale,American Pale Ale (APA),467,12.0
451,451,,,1095,Orange Grove Wheat Ale,American Pale Wheat Ale,467,12.0
452,452,0.061,,2456,Broad Brook Ale,American Amber / Red Ale,89,16.0
453,453,0.05,15.0,921,Northern Lights Amber Ale,American Amber / Red Ale,493,12.0
454,454,0.052,17.0,920,Polar Pale Ale,American Pale Ale (APA),493,12.0
455,455,0.048,,919,Chugach Session Ale,Cream Ale,493,12.0
456,456,0.061,64.0,648,Fairweather IPA,American IPA,493,12.0
457,457,0.068,47.0,1279,East India Pale Ale,English India Pale Ale (IPA),437,16.0
458,458,0.045,,756,Brooklyn Summer Ale,English Pale Mild Ale,437,12.0
459,459,0.068,47.0,566,East India Pale Ale,English India Pale Ale (IPA),437,12.0
460,460,0.045,,328,Brooklyn Summer Ale (2011),English Pale Mild Ale,437,12.0
461,461,0.052,,66,Brooklyn Lager (16 oz.),American Amber / Red Lager,437,16.0
462,462,0.052,,65,Brooklyn Lager (12 oz.),American Amber / Red Lager,437,12.0
463,463,0.08,,538,Tour de Nez Belgian IPA (Current),Belgian IPA,530,16.0
464,464,,,504,Roler Bock (Current),Maibock / Helles Bock,530,16.0
465,465,0.073,85.0,383,Black Adder IBA (Current),American Black Ale,530,16.0
466,466,0.099,,29,Very Noddy Lager (Current),Schwarzbier,530,16.0
467,467,0.062,42.0,28,Tule Duck Red Ale (Current),American Amber / Red Ale,530,16.0
468,468,0.0579999999999999,35.0,27,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,530,16.0
469,469,0.052,40.0,26,Black Noddy Lager (Current),Schwarzbier,530,16.0
470,470,0.053,,1627,Cleveland Beer Week 2013,Munich Helles Lager,357,16.0
471,471,0.045,,2552,Painted Turtle,American Pale Ale (APA),56,12.0
472,472,0.06,40.0,2125,1836,American Blonde Ale,214,12.0
473,473,0.06,20.0,2124,Summer's Wit,Witbier,214,12.0
474,474,0.09,118.0,2123,More Cowbell,American Double / Imperial IPA,214,16.0
475,475,0.065,,2608,Wrath of Pele,American Brown Ale,24,16.0
476,476,0.068,,2607,Black Beer'd,American Black Ale,24,16.0
477,477,0.078,,2606,Mr. Tea,Fruit / Vegetable Beer,24,24.0
478,478,0.055,40.0,2478,Pale Alement,American Pale Ale (APA),24,12.0
479,479,0.099,115.0,2471,Hopkick Dropkick,American Double / Imperial IPA,24,12.0
480,480,0.06,,2470,Kreamed Corn,Cream Ale,24,12.0
481,481,0.065,,2464,Coconoats,American Pale Wheat Ale,24,16.0
482,482,0.068,16.0,2160,Joey Wheat,American Pale Wheat Ale,24,16.0
483,483,0.072,86.0,2158,3:33 Black IPA,American IPA,24,16.0
484,484,0.068,,2072,MCA,American IPA,24,16.0
485,485,0.055,40.0,2054,Pale Alement,American Pale Ale (APA),24,16.0
486,486,0.05,14.0,2196,Couch Select Lager,American Pale Lager,197,12.0
487,487,0.0559999999999999,36.0,668,Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),517,12.0
488,488,0.049,,52,Heinnieweisse Weissebier,Hefeweizen,556,12.0
489,489,0.068,,51,Snapperhead IPA,American IPA,556,12.0
490,490,0.049,,50,Moo Thunder Stout,Milk / Sweet Stout,556,12.0
491,491,0.043,,49,Porkslap Pale Ale,American Pale Ale (APA),556,12.0
492,492,0.093,,2657,Blackbeard,American Double / Imperial Stout,5,12.0
493,493,0.062,,2656,Rye Knot,American Brown Ale,5,12.0
494,494,0.06,,2655,Dead Arm,American Pale Ale (APA),5,12.0
495,495,0.048,,2654,32°/50° Kölsch ,Kölsch,5,16.0
496,496,0.077,,2653,HopArt,American IPA,5,16.0
497,497,0.0969999999999999,,2652,Boy King,American Double / Imperial IPA,5,16.0
498,498,0.052,,2252,Gran Sport,American Porter,182,16.0
499,499,0.053,25.0,2214,Horny Toad Cerveza,American Blonde Ale,182,16.0
500,500,0.063,35.0,2213,Native Amber,American Amber / Red Ale,182,16.0
501,501,0.068,100.0,1442,F5 IPA,American IPA,182,16.0
502,502,0.063,35.0,170,Native Amber (2013),American Amber / Red Ale,182,16.0
503,503,0.053,25.0,169,Horny Toad Cerveza (2013),American Blonde Ale,182,16.0
504,504,0.068,100.0,2315,Hopportunity Knocks IPA,American IPA,155,12.0
505,505,0.06,,1808,Pilot Rock Porter,American Porter,155,12.0
506,506,0.0559999999999999,55.0,1419,Caldera Pale Ale,American Pale Ale (APA),155,12.0
507,507,0.039,16.0,878,Lawnmower Lager,American Adjunct Lager,155,12.0
508,508,0.054,24.0,794,Ashland Amber Ale (2009),American Amber / Red Ale,155,12.0
509,509,0.061,94.0,793,Caldera IPA (2009),American IPA,155,12.0
510,510,0.061,94.0,792,Caldera IPA (2007),American IPA,155,12.0
511,511,0.0559999999999999,55.0,791,Caldera Pale Ale (2010),American Pale Ale (APA),155,12.0
512,512,0.0559999999999999,55.0,790,Caldera Pale Ale (2009),American Pale Ale (APA),155,12.0
513,513,0.0559999999999999,55.0,789,Caldera Pale Ale (2005),American Pale Ale (APA),155,12.0
514,514,0.0559999999999999,55.0,788,Caldera Pale Ale (2007),American Pale Ale (APA),155,12.0
515,515,0.0559999999999999,55.0,38,Caldera Pale Ale (2011),American Pale Ale (APA),155,12.0
516,516,0.054,24.0,37,Ashland Amber Ale,American Amber / Red Ale,155,12.0
