name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,ML_ALGORITHM,BEST_METHOD
soybean,date,249,5,0.0,1.0,0.6305,10088,0.0281,0.5331,1.8671,nan,nan,nan,categorical,None,None,nb,impute_standard
soybean,leafspot-size,249,5,0.0,1.0,0.6305,10088,0.012,9.9658,0.9403,nan,nan,nan,categorical,None,None,dt,impute_logistic_regression
soybean,leafspot-size,249,5,0.0,1.0,0.6305,10088,0.012,9.9658,0.9403,nan,nan,nan,categorical,None,None,lr,impute_knn
soybean,leafspot-size,249,5,0.0,1.0,0.6305,10088,0.012,9.9658,0.9403,nan,nan,nan,categorical,None,None,knn,impute_knn
soybean,leafspot-size,249,5,0.0,1.0,0.6305,10088,0.012,9.9658,0.9403,nan,nan,nan,categorical,None,None,nb,impute_mode
soybean,canker-lesion,249,5,0.0,1.0,0.6305,10088,0.0161,3.2085,1.1737,nan,nan,nan,categorical,None,None,dt,no_impute
soybean,canker-lesion,249,5,0.0,1.0,0.6305,10088,0.0161,3.2085,1.1737,nan,nan,nan,categorical,None,None,lr,impute_knn
soybean,canker-lesion,249,5,0.0,1.0,0.6305,10088,0.0161,3.2085,1.1737,nan,nan,nan,categorical,None,None,knn,impute_mode
soybean,canker-lesion,249,5,0.0,1.0,0.6305,10088,0.0161,3.2085,1.1737,nan,nan,nan,categorical,None,None,nb,no_impute
soybean,fruit-spots,249,5,0.0,1.0,0.6305,10088,0.0161,6.0355,1.0149,nan,nan,nan,categorical,None,None,dt,impute_knn
soybean,fruit-spots,249,5,0.0,1.0,0.6305,10088,0.0161,6.0355,1.0149,nan,nan,nan,categorical,None,None,lr,impute_knn
soybean,fruit-spots,249,5,0.0,1.0,0.6305,10088,0.0161,6.0355,1.0149,nan,nan,nan,categorical,None,None,knn,impute_knn
soybean,fruit-spots,249,5,0.0,1.0,0.6305,10088,0.0161,6.0355,1.0149,nan,nan,nan,categorical,None,None,nb,impute_knn
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9915,160968,0.0022,1.3405,1.5072,nan,nan,nan,categorical,None,None,dt,no_impute
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9915,160968,0.0022,1.3405,1.5072,nan,nan,nan,categorical,None,None,lr,impute_standard
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9915,160968,0.0022,1.3405,1.5072,nan,nan,nan,categorical,None,None,knn,impute_knn
mushrooms,SporePrintColor,4021,5,0.0,1.0,0.9915,160968,0.0022,1.3405,1.5072,nan,nan,nan,categorical,None,None,nb,no_impute
